<<<<<<< HEAD
,Article identifier (PMID),DrugProt relation,Interactor argument 1,Interactor argument 2
0,23017395,8,T15,T21
1,23017395,8,T16,T21
2,12181427,9,T3,T22
3,12181427,8,T6,T23
4,12181427,8,T7,T23
5,12181427,9,T5,T23
6,12181427,8,T8,T24
7,12181427,8,T8,T25
8,12181427,8,T8,T26
9,12181427,8,T8,T27
10,12181427,8,T9,T28
11,12181427,8,T10,T29
12,12181427,8,T10,T30
13,12181427,8,T10,T31
14,12181427,8,T10,T15
15,12181427,8,T11,T15
16,12181427,8,T11,T29
17,12181427,8,T11,T30
18,12181427,8,T11,T31
19,12181427,8,T1,T16
20,12181427,8,T2,T16
21,12181427,8,T4,T18
22,12181427,8,T4,T19
23,12181427,9,T3,T20
24,12488248,11,T24,T47
25,12488248,11,T24,T48
26,12488248,11,T25,T49
27,12488248,11,T26,T49
28,12488248,11,T25,T50
29,12488248,11,T26,T50
30,12488248,8,T23,T47
31,12488248,8,T23,T48
32,12488248,8,T23,T49
33,12488248,8,T23,T50
34,12488248,11,T31,T51
35,12488248,11,T31,T52
36,12488248,0,T30,T51
37,12488248,0,T30,T52
38,12488248,8,T1,T51
39,12488248,8,T2,T51
40,12488248,8,T1,T52
41,12488248,8,T2,T52
42,23220562,0,T12,T42
43,23220562,0,T12,T43
44,23220562,6,T1,T14
45,23220562,6,T1,T15
46,23220562,6,T1,T16
47,23220562,0,T1,T17
48,23220562,0,T1,T18
49,23220562,8,T2,T19
50,23220562,8,T2,T20
51,23220562,8,T3,T21
52,23220562,8,T4,T22
53,23220562,0,T6,T28
54,23220562,0,T6,T29
55,23220562,6,T6,T25
56,23220562,6,T6,T26
57,23220562,6,T6,T27
58,23632082,4,T27,T46
59,23632082,8,T2,T29
60,23632082,8,T3,T29
61,23632082,8,T4,T29
62,23632082,4,T7,T30
63,23632082,8,T10,T32
64,23632082,0,T5,T29
65,17076770,6,T1,T6
66,23086198,11,T16,T23
67,23086198,11,T2,T41
68,23086198,11,T3,T41
69,23086198,11,T4,T41
70,23086198,11,T2,T42
71,23086198,11,T3,T42
72,23086198,11,T4,T42
73,23086198,11,T5,T20
74,23086198,11,T6,T20
75,23086198,11,T7,T20
76,23086198,11,T12,T28
77,23086198,11,T12,T29
78,23086198,11,T14,T28
79,23086198,11,T13,T28
80,23086198,11,T13,T29
81,23086198,11,T14,T29
82,23086198,11,T17,T19
83,23086198,11,T17,T33
84,23086198,11,T8,T19
85,23086198,11,T8,T33
86,10485483,7,T4,T9
87,10485483,7,T3,T9
88,12470615,1,T13,T32
89,12470615,1,T12,T32
90,12470615,1,T1,T22
91,12470615,1,T6,T22
92,12470615,7,T1,T28
93,12470615,7,T6,T28
94,12470615,1,T2,T17
95,12470615,1,T3,T17
96,12470615,7,T4,T18
97,12470615,7,T4,T19
98,12470615,7,T7,T21
99,12470615,7,T7,T23
100,12470615,7,T7,T24
101,12470615,7,T8,T25
102,12470615,7,T11,T14
103,2512511,5,T33,T48
104,2512511,5,T32,T48
105,2512511,5,T29,T41
106,2512511,5,T2,T41
107,2512511,5,T10,T41
108,2512511,5,T12,T41
109,2512511,5,T22,T43
110,23578993,7,T3,T38
111,23578993,7,T3,T39
112,23578993,7,T3,T40
113,23578993,7,T4,T38
114,23578993,7,T4,T39
115,23578993,7,T4,T40
116,23578993,6,T5,T38
117,23578993,6,T5,T39
118,23578993,6,T5,T40
119,23578993,7,T12,T41
120,23578993,7,T12,T42
121,23578993,11,T34,T53
122,23578993,11,T34,T54
123,15120421,5,T35,T54
124,15120421,5,T36,T54
125,15120421,5,T37,T54
126,15120421,5,T1,T39
127,15120421,5,T2,T39
128,15120421,5,T3,T39
129,15120421,1,T14,T45
130,23064031,8,T11,T40
131,23064031,8,T11,T41
132,23064031,6,T6,T24
133,23064031,6,T6,T25
134,23064031,6,T6,T26
135,23064031,8,T6,T26
136,23064031,8,T7,T28
137,23064031,8,T7,T29
138,23064031,8,T7,T30
139,23064031,8,T7,T31
140,23064031,8,T7,T32
141,23064031,8,T9,T33
142,23064031,8,T9,T34
143,23064031,8,T10,T35
144,23064031,8,T10,T36
145,23064031,6,T10,T37
146,23064031,8,T10,T38
147,23064031,8,T10,T39
148,23064031,8,T10,T12
149,23064031,8,T10,T13
150,23064031,8,T10,T14
151,23064031,8,T2,T15
152,23064031,8,T2,T16
153,23064031,6,T2,T17
154,23064031,6,T2,T18
155,23064031,6,T2,T19
156,23063590,8,T16,T34
157,23063590,6,T16,T35
158,23063590,6,T10,T22
159,23063590,6,T10,T23
160,23063590,6,T10,T24
161,23063590,6,T10,T25
162,23063590,6,T10,T26
163,23063590,6,T11,T27
164,23063590,6,T11,T28
165,23063590,6,T11,T29
166,23063590,6,T11,T30
167,23063590,6,T11,T31
168,23063590,8,T13,T32
169,23063590,8,T13,T33
170,23063590,6,T15,T18
171,23063590,6,T15,T19
172,23063590,6,T5,T20
173,23063590,8,T5,T21
174,23568856,11,T1,T23
175,23568856,11,T1,T20
176,23568856,11,T1,T22
177,23568856,8,T6,T21
178,23568856,11,T7,T21
179,23568856,11,T8,T24
180,23568856,11,T9,T25
181,23568856,5,T11,T26
182,10368299,5,T10,T25
183,10368299,5,T11,T25
184,10368299,8,T6,T18
185,10368299,8,T6,T19
186,10368299,8,T7,T18
187,10368299,8,T7,T19
188,10368299,5,T8,T24
189,10368299,5,T3,T12
190,10368299,5,T3,T13
191,10368299,5,T3,T14
192,23521080,8,T6,T13
193,23521080,8,T7,T13
194,23521080,8,T2,T11
195,23521080,8,T1,T11
196,23521080,8,T3,T11
197,23521080,8,T1,T12
198,23521080,8,T2,T12
