source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,LOSER! https://t.co/p5imhMJqS1,05-18-2020 14:55:14,32295,135445,false,1262396333064892416
Twitter for iPhone,Most of the money raised by the RINO losers of the so-called “Lincoln Project” goes into their own pockets. With what I’ve done on Judges Taxes Regulations Healthcare the Military Vets (Choice!) &amp; protecting our great 2A they should love Trump. Problem is I BEAT THEM ALL!,05-05-2020 18:18:26,19706,82425,false,1257736426206031874
Twitter for iPhone,....because they don’t know how to win and their so-called Lincoln Project is a disgrace to Honest Abe. I don’t know what Kellyanne did to her deranged loser of a husband Moonface but it must have been really bad. John Weaver lost big for Kasich (to me). Crazed Rick Wilson....,05-05-2020 04:46:34,12665,56868,false,1257532112233803782
Twitter for iPhone,....lost for Evan “McMuffin” McMullin (to me). Steve Schmidt &amp; Reed Galvin lost for John McCain Romney’s campaign manager (?) lost big to “O” &amp; Jennifer Horn got thrown out of the New Hampshire Republican Party. They’re all LOSERS but Abe Lincoln Republican is all smiles!,05-05-2020 04:46:34,13855,62268,false,1257532114666508291
Twitter for iPhone,....get even for all of their many failures. You see these loser types don’t care about 252 new Federal Judges 2 great Supreme Court Justices a rebuilt military a protected 2nd Amendment biggest EVER Tax &amp; Regulation cuts and much more. I didn’t use any of them....,05-05-2020 04:46:33,8122,33261,false,1257532110971318274
Twitter for iPhone,Cryin Chuck Schumer compared to what other Senators have brought home to their states has brought very little back to N.Y. A totally overrated loser the one thing he has given them is SALT. He never even called me to stop it. No wonder Cuomo &amp; most others can’t stand him. AOC!,05-01-2020 12:14:36,21049,90556,false,1256195312965877760
Twitter for iPhone,They are Fake News Losers! https://t.co/3RHcBZogms,04-18-2020 03:35:10,17404,70340,false,1251353550703247361
Twitter for iPhone,The Wall Street Journal Editorial Board doesn’t have a clue on how to fight and win. Their views on Tariffs &amp; Trade are losers for the U.S. but winners for other countries including China. If we followed their standards  we’d have no Country left. They should love Sleepy Joe!,04-11-2020 22:35:35,17187,73928,false,1249103831994118146
Twitter for iPhone,Pocahontas working in conjunction with the Democrat Party totally destroyed the campaign of Bernie Sanders. If she would have quit 3 days earlier Sanders would have beaten Biden in a route it wouldn’t even have been close. They also got two other losers to support Sleepy Joe!,03-11-2020 04:55:59,19927,102684,false,1237603152490147850
Twitter for iPhone,Elizabeth “Pocahontas” Warren other than Mini Mike was the loser of the night. She didn’t even come close to winning her home state of Massachusetts. Well now she can just sit back with her husband and have a nice cold beer!,03-04-2020 03:35:16,31786,170852,false,1235046124328755200
Twitter for iPhone,The biggest loser tonight by far is Mini Mike Bloomberg. His “political” consultants took him for a ride. $700 million washed down the drain and he got nothing for it but the nickname Mini Mike and the complete destruction of his reputation. Way to go Mike!,03-04-2020 03:23:58,31194,164102,false,1235043280846381058
Twitter for iPhone,A so-called reporter named @JohnJHarwood who bombed so badly in the 2016 Presidential Debates that I thought he was going to be immediately fired (a Mini Mike type performance) is now with Fake News @CNN. A total loser!,02-29-2020 03:00:18,13060,59154,false,1233587771513507840
Twitter for iPhone,To the people of South Carolina Tom Steyer is a joke laughed at by everyone a total incompetent. He made money in coal now he “hates” coal. Did you see him fawning over Crazy Bernie? Has no chance a loser for South Carolina doesn’t deserve your vote!,02-28-2020 14:54:51,18676,93228,false,1233405207217876992
Twitter for iPhone,RT @ByronYork: Amusing: First Bloomberg called for Biden Buttigieg Klobuchar to quit race. Hey all you losers leave it to Mike! Now Te…,02-22-2020 03:55:24,4082,0,true,1231064925168185345
Twitter for iPhone,Mini Mike Bloomberg is a LOSER who has money but can’t debate and has zero presence you will see. He reminds me of a tiny version of Jeb “Low Energy” Bush but Jeb has more political skill and has treated the Black community much better than Mini! https://t.co/qIef5VhjDr,02-13-2020 13:13:09,22416,94518,false,1227943796681400320
Twitter for iPhone,Steyer is a major loser. Just doesn’t get it. This is second time with Bernie! https://t.co/fxZh8zNhks,01-22-2020 13:23:33,7410,33830,false,1219973879692713989
Twitter for iPhone,Two stone cold losers from Amazon WP. Almost every story is a made up lie just like corrupt pol Shifty Schiff who fraudulently made up my call with Ukraine. Fiction! https://t.co/0Oad0738NG,01-20-2020 18:48:44,15316,60108,false,1219330940461309952
Twitter for iPhone,RT @RepMattGaetz: There are a lot of moderate Dems who recognize what a political loser impeachment is.They're encouraging their leadersh…,12-12-2019 12:40:30,5051,0,true,1205105142216974336
Twitter for iPhone,Don’t get why @FoxNews puts losers on like @RepSwalwell (who got ZERO as presidential candidate before quitting) Pramila Jayapal David Cicilline and others who are Radical Left Haters? The Dems wouldn’t let @FoxNews get near their bad ratings debates yet Fox panders. Pathetic!,12-08-2019 19:42:13,14571,54970,false,1203761720419856387
Twitter for iPhone,Why do @ShannonBream &amp; @FoxNews waste airtime on Democrat Rep. Eric Swalwell who recently left the Presidential Primaries having attained a grand number of ZERO in the polls. I don’t even know how that is possible. Fox should stay with the people that got them there not losers!,11-21-2019 12:26:31,12543,49794,false,1197491477573709825
Twitter for iPhone,“Nancy Pelosi cares more about power than she does about principle. She did not want to go down this road. She realizes this is a huge loser for Democrats. The Founders envisioned the worst people being in politics yet they couldn’t envision this. You have these people taking...,11-13-2019 13:18:05,15818,59700,false,1194605354484715520
Twitter for iPhone,But the Witch Hunt continues. After 3 years of relentless attacks against the Republican Party &amp; me the Do Nothing Dems are losers for America! https://t.co/met2y8VoPe,11-09-2019 16:15:08,16184,62448,false,1193200357243080704
Twitter for iPhone,Who the hell is Joy-Ann Reid? Never met her she knows ZERO about me has NO talent and truly doesn’t have the “it” factor needed for success in showbiz. Had a bad reputation and now works for the Comcast/NBC losers making up phony stories about me. Low Ratings. Fake News!,09-14-2019 13:04:10,19049,90761,false,1172858577951821825
Twitter for iPhone,A made up Radical Left Story about Doral bedbugs but Bret Stephens is loaded up with them! Been calling me wrong for years along with the few remaining Never Trumpers - All Losers! https://t.co/KlzzMC40Vt,08-28-2019 03:23:11,12697,54509,false,1166551774431498247
Twitter for iPhone,Just watched a world class loser Tim O’Brien who I haven’t seen or spoken to in many years &amp; knows NOTHING about me except that he wrote a failed hit piece book about me 15 years ago. Fired like a dog from other jobs? Saw him on Lyin’ Brian Williams Trump Slam Show. Bad TV....,08-08-2019 04:20:03,19724,111272,false,1159318329506574336
Twitter for iPhone,....I am so amazed that MSNBC &amp; CNN can keep putting on over and over again people that have no idea what I am all about and yet they speak as experts on “Trump.” Same people since long before the 2016 Election and how did that work out for the Haters and Losers. Not well!,08-08-2019 04:20:03,19748,111268,false,1159318330311880706
Twitter for iPhone,Great news for the Republican Party as one of the dumbest &amp; most disloyal men in Congress is “quitting” the Party. No Collusion No Obstruction! Knew he couldn’t get the nomination to run again in the Great State of Michigan. Already being challenged for his seat. A total loser!,07-04-2019 13:05:17,25722,116119,false,1146766931573301248
Twitter for iPhone,RT @RealCandaceO: You cannot be a victim and a victor at the same time. You can either choose to win or accept your status as a loser.…,07-04-2019 12:42:23,16065,0,false,1146761170004713472
Twitter for iPhone,Big Rally tomorrow night in Orlando Florida looks to be setting records. We are building large movie screens outside to take care of everybody. Over 100000 requests. Our Country is doing great far beyond what the haters &amp; losers thought possible - and it will only get better!,06-17-2019 12:00:45,25894,106228,false,1140590099870171137
Twitter for iPhone,The Corrupt News Media is totally out of control - they have given up and don’t even care anymore. Mainstream Media has ZERO CREDIBILITY - TOTAL LOSERS!,06-15-2019 19:04:33,26250,104743,false,1139971974854258688
Twitter for iPhone,....other than to know he was and is a total Loser. When he makes statements about me they are made up he knows nothing!,06-09-2019 03:54:08,10528,59643,false,1137568536690343936
Twitter for iPhone,.@SadiqKhan who by all accounts has done a terrible job as Mayor of London has been foolishly “nasty” to the visiting President of the United States by far the most important ally of the United Kingdom. He is a stone cold loser who should focus on crime in London not me......,06-03-2019 07:51:18,47335,201594,false,1135453891326238721
Twitter for iPhone,....he would see that it was nevertheless strong on NO COLLUSION and ultimately NO OBSTRUCTION...Anyway how do you Obstruct when there is no crime and in fact the crimes were committed by the other side? Justin is a loser who sadly plays right into our opponents hands!,05-19-2019 13:55:07,17264,78231,false,1130109633673211906
Twitter for iPhone,....There is nothing to admire about them they will always try to show a glimmer of vicious hope but they are losers and barely breathing. Think about that before you destroy your lives and the lives of your family!,03-22-2019 16:15:05,18777,105976,false,1109126359861944322
Twitter for iPhone,George Conway often referred to as Mr. Kellyanne Conway by those who know him is VERY jealous of his wife’s success &amp; angry that I with her help didn’t give him the job he so desperately wanted. I barely know him but just take a look a stone cold LOSER &amp; husband from hell!,03-20-2019 11:51:40,26011,127551,false,1108335293671845888
Twitter for iPhone,A total loser! https://t.co/vm3Vv2f9jf,03-19-2019 12:34:40,15861,69178,false,1107983725034463232
Twitter for iPhone,RT @vmbb12: We have to fight back. They have not let up on President Trump nor his supporters since they lost. They are losers we are win…,03-17-2019 21:36:00,15485,0,false,1107395181534429184
Twitter for iPhone,....must stay strong and fight back with vigor. Stop working soooo hard on being politically correct which will only bring you down and continue to fight for our Country. The losers all want what you have don’t give it to them. Be strong &amp; prosper be weak &amp; die! Stay true....,03-17-2019 13:33:03,26567,104362,false,1107273645196537857
Twitter for iPhone,“Now that the Dems are going to try &amp; switch from Collusion to some other reason it makes them continue to look like sore losers who didn’t accept the WILL OF THE PEOPLE in the last election - they will do anything to get rid of the President.” @AriFleischer It will never work!,03-04-2019 20:06:34,25885,102759,false,1102661631568461824
Twitter for iPhone,I never said anything bad about Andrew McCabe’s wife other than she (they) should not have taken large amounts of campaign money from a Crooked Hillary source when Clinton was under investigation by the FBI. I never called his wife a loser to him (another McCabe made up lie)!,02-19-2019 16:05:01,25963,116520,false,1097889803864064001
Twitter for iPhone,Lyin’ James Comey Andrew McCabe Peter S and his lover agent Lisa Page &amp; more all disgraced and/or fired and caught in the act. These are just some of the losers that tried to do a number on your President. Part of the Witch Hunt. Remember the “insurance policy?” This is it!,01-12-2019 14:20:33,27269,110175,false,1084092774633353217
Twitter for iPhone,How can “Senator” Richard Blumenthal who went around for twenty years as a Connecticut politician bragging that he was a great Marine war hero in Vietnam (then got caught and sobbingly admitted he was neither a Marine nor ever in Vietnam) pass judgement on anyone? Loser!,08-17-2018 00:56:42,30040,110496,false,1030257073047658501
Twitter for iPhone,...really bad things. Nasty to people &amp; would constantly miss meetings &amp; work. When Gen. Kelly came on board he told me she was a loser &amp; nothing but problems. I told him to try working it out if possible because she only said GREAT things about me - until she got fired!,08-13-2018 13:50:27,18386,80892,false,1029002242932834310
Twitter for iPhone,.....Will the FBI ever recover it’s once stellar reputation so badly damaged by Comey McCabe Peter S and his lover the lovely Lisa Page and other top officials now dismissed or fired? So many of the great men and women of the FBI have been hurt by these clowns and losers!,08-11-2018 13:18:06,25591,104931,false,1028269328246947840
Twitter for iPhone,.....Will the FBI ever recover it’s once stellar reputation so badly damaged by Comey McCabe Peter S and his lover the lovely Lisa Page and other top officials now dismissed or fired? So many of the great men and women of the FBI have been hurt by these clowns and losers!,08-11-2018 12:49:02,4352,15424,false,1028262012332240901
Twitter for iPhone,Why was the FBI’s sick loser Peter Strzok working on the totally discredited Mueller team of 13 Angry &amp; Conflicted Democrats when Strzok was giving Crooked Hillary a free pass yet telling his lover lawyer Lisa Page that “we’ll stop” Trump from becoming President? Witch Hunt!,06-18-2018 00:42:04,21339,84263,false,1008510118395293699
Twitter for iPhone,The fact that I am having a meeting is a major loss for the U.S. say the haters &amp; losers. We have our hostages testing research and all missle launches have stoped and these pundits who have called me wrong from the beginning have nothing else they can say! We will be fine!,06-11-2018 22:04:01,33959,150303,false,1006296018210603008
Twitter for iPhone,....non-existent “sources” and a drunk/drugged up loser who hates Michael a fine person with a wonderful family. Michael is a businessman for his own account/lawyer who I have always liked &amp; respected. Most people will flip if the Government lets them out of trouble even if....,04-21-2018 13:10:01,10795,49503,false,987679850545778689
Twitter for iPhone,....non-existent “sources” and a drunk/drugged up loser who hates Michael a fine person with a wonderful family. Michael is a businessman for his own account/lawyer who I have always liked &amp; respected. Most people will flip if the Government lets them out of trouble even if....,04-21-2018 12:17:22,2671,10374,false,987666601808924672
Twitter for iPhone,The Fake News of big ratings loser CNN. https://t.co/rYsv90cnvs,02-18-2018 13:46:39,19637,76885,false,965221024496279552
Twitter for iPhone,The Democrats want to shut down the Government over Amnesty for all and Border Security. The biggest loser will be our rapidly rebuilding Military at a time we need it more than ever. We need a merit based system of immigration and we need it now! No more dangerous Lottery.,01-16-2018 14:07:38,24015,100620,false,953267506004754432
Twitter for iPhone,The Fake News Awards those going to the most corrupt &amp; biased of the Mainstream Media will be presented to the losers on Wednesday January 17th rather than this coming Monday. The interest in and importance of these awards is far greater than anyone could have anticipated!,01-07-2018 20:35:39,37762,151191,,950103659337134080
Twitter for iPhone,Michael Wolff is a total loser who made up stories in order to sell this really boring and untruthful book. He used Sloppy Steve Bannon who cried when he got fired and begged for his job. Now Sloppy Steve has been dumped like a dog by almost everyone. Too bad! https://t.co/mEeUhk5ZV9,01-06-2018 04:32:08,23915,88836,,949498795074736129
Twitter for iPhone,Crooked Hillary Clinton is the worst (and biggest) loser of all time. She just can’t stop which is so good for the Republican Party. Hillary get on with your life and give it another try in three years!,11-18-2017 13:31:47,51390,191955,false,931877599034388480
Twitter for iPhone,While in the Philippines I was forced to watch @CNN which I have not done in months and again realized how bad and FAKE it is. Loser!,11-15-2017 10:45:39,32702,135601,false,930748627642998784
Twitter for iPhone,RT @realDonaldTrump: Loser terrorists must be dealt with in a much tougher manner.The internet is their main recruitment tool which we must…,09-17-2017 13:03:32,21445,0,true,909402439643750400
Twitter for iPhone,Loser terrorists must be dealt with in a much tougher manner.The internet is their main recruitment tool which we must cut off &amp; use better!,09-15-2017 10:48:18,21411,97462,false,908643633901039617
Twitter for iPhone,Another attack in London by a loser terrorist.These are sick and demented people who were in the sights of Scotland Yard. Must be proactive!,09-15-2017 10:42:55,29327,110223,false,908642277987356673
Twitter for iPhone,RT @Bet22325450ste: @FoxBusiness @foxandfriends Come on America. Get on the Trump Train. The winners already have boarded! The losers are w…,08-04-2017 13:20:21,9648,0,true,893461607275270144
Twitter for Android,.@CNN just doesn't get it and that's why their ratings are so low - and getting worse. Boring anti-Trump panelists mostly losers in life!,09-17-2016 13:13:43,12708,39146,false,777133433915002880
Twitter for iPhone,Bill Kristol has been wrong for 2yrs-an embarrassed loser but if the GOP can't control their own then they are not a party. Be tough R's!,05-29-2016 22:53:16,5076,16261,false,737054226833149952
Twitter for Android,"@daybastrop @foxandfriends @BretBaier The liars that signed the pledge and now won't support @realDonaldTrump IS the reason they are losers,05-09-2016 12:15:04,3520,10096,false,729645861089775616
Twitter for iPhone,Phony Club For Growth tried to shake me down for one million dollars &amp; is now putting out nasty negative ads on me. They are total losers!,03-09-2016 21:46:12,4856,13859,false,707683931609550848
Twitter for Android,.@FoxNews is devastated that lightweight Senator Marco Rubio got trounced tonight and is the big loser. I won the two big states great!,03-06-2016 05:40:37,5472,19409,false,706353772751163392
Twitter for Android,"@SirHatchporch: Mary Kissel is an SNL character right? She's not a real person right? #MorningJoe"  She is a major loser - no clue!,03-04-2016 12:29:12,1630,5944,false,705731821489807364
Twitter for Android,Have a good chance to win Texas on Tuesday. Cruz is a nasty guy not one Senate endorsement and despite talk gets nothing done. Loser!,02-26-2016 14:02:29,4815,15440,false,703218582310641667
Twitter for Android,There are no buyers for the worthless @NYDailyNews but little Mort Zuckerman is frantically looking. It is bleeding red ink - a total loser!,02-11-2016 14:13:09,2062,6845,false,697785447771172864
Twitter for iPhone,Really dumb @CheriJacobus. Begged my people for a job. Turned her down twice and she went hostile. Major loser zero credibility!,02-06-2016 02:01:35,1725,4860,false,695789403374014464
Twitter for iPhone,Dope Frank Bruni said I called many people including Karl Rove losers-true! I never called my friend @HowardStern a loser- he’s a winner!,01-19-2016 14:44:25,1456,4280,false,689458393283563524
Twitter for iPhone,Joe McQuaid (@deucecrew) is desperately trying to sell the @UnionLeader. It's a loser and my comments haven't helped him much.,12-30-2015 15:22:44,766,2488,false,682220279871979520
Twitter for Android,"@Sir_Max: andreajmarkley: Rubio finally gets an endorsement – from #Benghazi loser Gowdy #Tcot #pjnet https://t.co/lJcHG0IHaM via dailyne,12-27-2015 12:37:24,929,2210,false,681091509811306496
Twitter for Android,.@JebBush today said he didn't want to be the front-runner he would rather be where he is now 2%. That is the talk of a loser can't win!,12-21-2015 04:42:21,3119,8076,false,678797631250911232
Twitter for Android,Something must be done with dopey @KarlRove - he is pushing Republicans down the same old path of defeat. Don't fall for it Karl is a loser,12-13-2015 05:28:50,2528,6031,false,675910224855855104
Twitter for Android,Why does @CNN bore their audience with people like @secupp a totally biased loser who doesn't have a clue. I hear she will soon be gone!,12-10-2015 02:25:58,1471,4041,false,674777043163332608
Twitter for Android,"@mysteriousLoser: @realDonaldTrump did you hear the mayor nutter of philadelphias comments towards you? Ignorance" Yes he is a crude dope!,12-09-2015 13:20:01,944,2740,false,674579252956815360
Twitter for Android,@KarlRove just totally bombed on @Morning_Joe. @FoxNews has him on even though he has lost all credibility - a loser!  Fox should dump Rove.,11-25-2015 13:40:35,681,1445,false,669510996504010752
Twitter Web Client,Republicans must stop relying on losers like @KarlRove if they want to start winning presidential elections. Be tough and get smart!,11-24-2015 20:02:19,2477,5192,false,669244676176760833
Twitter for Android,The media must immediately stop calling ISIS leaders "MASTERMINDS." Call them instead thugs and losers. Young people must not go into ISIS!,11-20-2015 12:50:14,6526,12758,false,667686386653388800
Twitter for Android,I have watched sloppy Graydon Carter fail and close Spy Magazine and now am watching him fail at @VanityFair Magazine. He is a total loser!,11-15-2015 23:47:06,797,2166,false,666039755038150656
Twitter for Android,"@N_R_Mandela: @realDonaldTrump And you're still a negative loser and Trump is still a positive winner. I'm Black and proudly voting TRUMP!",11-01-2015 05:15:59,925,2361,false,660686703359877120
Twitter for Android,The money losing @politico is considered by many in the world of politics to be the dumbest and most slanted of the political sites. Losers!,10-29-2015 10:47:56,1266,2537,false,659683076109303808
Twitter for Android,"@joeoh89: @seanhannity  @realDonaldTrump What happened to The Pledge? Walker quits and slams Trump. Losers proving Pledge was sham.",09-22-2015 02:27:43,1555,2498,false,646148841834680320
Twitter for Android,"@MlSSTHOT: @realDonaldTrump: Ignore the losers and the haters you are  going to make this country great again",09-12-2015 11:19:28,650,1589,false,642658783064403968
Twitter for Android,"@RubenMMoreno: @realDonaldTrump The biggest loser in the debate was @megynkelly. You can't out trump Donald Trump. You will lose!,08-07-2015 07:23:31,866,1977,false,629553442944602112
Twitter Web Client,Via @fitsnews: “Donald Trump: John McCain Is ‘A Loser’” http://t.co/sgiETvdUqi,07-18-2015 21:45:48,438,905,false,622522682245033984
Twitter Web Client,.@KarlRove wasted $400 million + and didn’t win one race—a total loser. @FoxNews,07-16-2015 15:02:34,537,845,false,621696429749325825
Twitter for Android,"@nojoed: @realDonaldTrump @KarlRove Karl why don't you sit this election cycle out we had enough losers to last us a life time." True.,06-22-2015 19:59:42,99,228,false,613073899505500160
Twitter Web Client,It's time for government to stop picking winners &amp; losers. Let’s make sure everyone can achieve the American dream! https://t.co/u25yI5T7E8,06-22-2015 16:35:39,229,438,false,613022549824405504
Twitter for Android,"@_Snurk: @realDonaldTrump Love it! Always respect FIGHTERS over overrated loser POLITITIANS!! Inspire GREATNESS! #TRUMP #2016",06-16-2015 07:30:05,21,58,false,610710925088301056
Twitter for Android,"@Bobzilla305: @realDonaldTrump @krauthammer is a progressive making money off of the Conservative viewership" A total loser!,06-05-2015 04:10:24,26,45,false,606674404723015682
Twitter Web Client,All the haters &amp; losers must admit that unlike others I never attacked dopey Jon Stewart for his phony last name. Would never do that!,06-01-2015 16:20:38,125,192,false,605408625461460993
Twitter Web Client,While Jon Stewart is a joke not very bright and totally overrated some losers and haters will miss him &amp; his dumb clown humor. Too bad!,06-01-2015 16:19:39,290,389,false,605408374969253888
Twitter for Android,All the haters and losers must admit that unlike others  I never attacked dopey Jon Stewart for his phony last name. Would never do that!,05-31-2015 02:33:29,306,405,false,604838076586856448
Twitter for Android,While Jon Stewart is a joke not very bright and totally overrated some losers and haters will miss him and his dumb clown humor. Too bad!,05-31-2015 01:48:34,444,656,false,604826775030509568
Twitter for Android,I would like to wish everyone including all haters and losers (of which sadly there are many) a truly happy and enjoyable Memorial Day!,05-24-2015 20:26:32,8567,11084,false,602571404861636608
Twitter for Android,"@HarmonBrew: @FoxNews @megynkelly  DonaldTrump #KellyFile Trump is so right about Geller. Megyn stop advocating for her; its a loser.",05-21-2015 05:58:13,11,12,false,601265719007944704
Twitter Web Client,"@KhathuEnos  ignoring haters and losers is the best medicine of success build a wall from whatever they throw towards you Sir.",05-18-2015 14:30:45,51,74,false,600307541306941440
Twitter for Android,"@utkarsh_chheda: @realDonaldTrump @Elgianne damn.. a lot of haters follow u...."  Haters and losers!,05-18-2015 12:11:19,22,46,false,600272452988592129
Twitter for Android,Why do we always try to destroy our true champions and winners in this country while at the same time leaving the losers alone? STUPID!,05-11-2015 23:47:22,1908,2163,false,597910903007371265
Twitter for Android,"@ScottFConroy: Kentucky Derby? More like Kentucky Losers! DonaldTrump is only horse in race that matters for America! Strong fierce noble,05-02-2015 22:59:19,68,105,false,594637318754992128
Twitter for Android,.@NRO  Not much is as "dead" or irrelevant as National Review thanks to guidance of Goldberg a total loser! Get some real talent or fold!,04-25-2015 14:40:42,72,109,false,591975121616777217
Twitter for Android,For all of the haters and losers out there sorry I never went Bankrupt -- but I did build a world class company and employ many people!,04-18-2015 11:21:33,436,717,false,589388289456660480
Twitter for Android,"@BretBaier: Tonight on the #SpecialReport panel we have @georgewillf @ron_fournier and @JonahNRO. What a group of losers on your panel!,04-18-2015 02:10:05,16,43,false,589249511714902016
Twitter for Android,Thanks @JamersonHayes they are all total losers with nothing going for them!,04-12-2015 01:54:20,13,39,false,587071216990756864
Twitter for Android,"@tijfbutler: Greatest Easter greeting ever RT“@realDonaldTrump: I wish everyone including the haters and losers a very happy Easter!”",04-05-2015 19:55:37,57,97,false,584806615834046464
Twitter for Android,I wish everyone including the haters and losers a very happy Easter!,04-05-2015 09:24:13,12290,13177,false,584647721883148288
Twitter for Android,"@MotAmazeBeGREAT: "What separates the winners from the losers is how a person reacts to each new twist of fate." - Donald Trump,02-14-2015 02:36:33,76,93,false,566425736123514880
Twitter for Android,"@VMilaccio: #DonaldTrump was right about #RosieODonnell. She is a no talent loser who deserves her comeuppance. @realDonaldTrump",02-11-2015 02:50:43,23,73,false,565342137416691713
Twitter for Android,"@realmissalusa: "What separates the winners from the losers is how a person reacts to each new twist of fate." @realDonaldTrump 👑✨",01-27-2015 02:18:18,51,102,false,559898158470549504
Twitter for Android,"@Pretty_Nikki21: @realDonaldTrump is trying to set @KenyaMoore up putting her in loser seats #CelebApprentice",01-27-2015 02:17:32,7,18,false,559897966899888128
Twitter Web Client,Why do people give @KarlRove contributions when they know he is a loser who has no idea how to win? http://t.co/mbnmf8D8jI,01-26-2015 21:52:09,74,108,false,559831181819392000
Twitter for Android,Word is that @NBCNews is firing sleepy eyes Chuck Todd in that his ratings on Meet the Press are setting record lows. He's a real loser!,01-25-2015 15:48:44,184,207,false,559377335636746240
Twitter for Android,Despite what the haters and losers like to say I never filed for bankruptcy but WOW the preeminent gaming company Caesars just did.,01-15-2015 15:51:46,121,123,false,555754219831955456
Twitter for Android,To EVERYONE including all haters and losers HAPPY NEW YEAR. Work hard be smart and always remember  WINNING TAKES CARE OF EVERYTHING!,12-31-2014 21:15:21,1271,1209,false,550399835682390016
Twitter Web Client,What separates the winners from the losers is how a person reacts to each new twist of fate.,12-30-2014 21:50:40,580,512,false,550046337547665409
Twitter for Android,"@rinibobusepi: RT @realDonaldTrump “You're never a loser until you quit trying” - Mike Ditka",12-30-2014 11:16:01,61,64,false,549886622943444992
Twitter for Android,So many people think I will not run for President.Wow I wonder what the response will be if I do. Even the haters and losers will be happy!,12-24-2014 23:52:57,847,1081,false,547902782288986112
Twitter for Android,"@kyleraccio: @realDonaldTrump loser newspaper &amp; loser comedian!",12-24-2014 03:47:36,7,15,false,547599447220572161
Twitter for Android,Sorry @Rosie is a mentally sick woman a bully a dummy and above all a loser. Other than that she is just wonderful!,12-09-2014 01:53:59,712,890,false,542135034984284160
